rowId,city_name,town_name,latitude,longitude,households,population,e_stat_code
1,亀山市,アイリス町,34.869662,136.457652,291,987,242100660
2,亀山市,安坂山町,34.914215,136.39468,216,578,242100550
3,亀山市,安知本町,34.827428,136.445377,117,314,242100310
4,亀山市,阿野田町,34.843074,136.465666,834,1811,242100280
5,亀山市,井尻町,34.853411,136.482988,125,329,242100430
6,亀山市,井田川町,34.867206,136.492092,116,223,242100460
7,亀山市,市ケ坂町,34.856377,136.446644,37,72,242100150
8,亀山市,上野町,34.855317,136.471585,172,328,242100381
9,亀山市,江ケ室一丁目,34.857746,136.454395,45,130,24210010101
10,亀山市,江ケ室二丁目,34.857226,136.456432,69,181,24210010102
11,亀山市,小川町,34.886145,136.426832,119,312,242100590
12,亀山市,小野町,34.85508,136.406891,49,125,242100620
13,亀山市,加太板屋,34.856274,136.31855,56,147,242100840
14,亀山市,加太市場,34.8504,136.341983,65,167,242100800
15,亀山市,加太梶ケ坂,34.849844,136.331222,30,74,242100820
16,亀山市,加太北在家,34.855804,136.297832,29,78,242100850
17,亀山市,加太神武,34.82357,136.316833,26,60,242100830
18,亀山市,加太中在家,34.826182,136.293586,77,198,242100860
19,亀山市,加太向井,34.830555,136.339612,45,115,242100810
20,亀山市,亀田町,34.867208,136.454634,412,849,242100250
21,亀山市,川合町,34.866296,136.477991,694,1920,242100450
22,亀山市,川崎町,34.897478,136.473884,1049,2440,242100530
23,亀山市,北鹿島町,34.8513,136.464363,133,278,242100341
24,亀山市,北野町,34.856952,136.443592,12,43,242100221
25,亀山市,北町,34.858792,136.465072,155,470,242100061
26,亀山市,北山町,34.858512,136.459524,82,185,242100071
27,亀山市,楠平尾町,34.835501,136.437931,90,236,242100330
28,亀山市,木下町,34.848077,136.414068,62,173,242100630
29,亀山市,小下町,34.853302,136.471159,190,370,242100491
30,亀山市,栄町,34.859902,136.471022,403,924,242100420
31,亀山市,渋倉町,34.854217,136.457747,5,19,242100090
32,亀山市,下庄町,34.820656,136.480359,356,885,242100410
33,亀山市,白木町,34.87784,136.410627,196,461,242100580
34,亀山市,菅内町,34.844892,136.479716,140,358,242100290
35,亀山市,住山町,34.872254,136.438673,254,616,242100270
36,亀山市,関ヶ丘,34.844215,136.386142,188,513,242100920
37,亀山市,関町泉ヶ丘,34.858085,136.393023,152,409,242100910
38,亀山市,関町市瀬,34.864789,136.372375,32,69,242100890
39,亀山市,関町会下,34.860344,136.401405,368,718,242100720
40,亀山市,関町越川,34.832868,136.357935,16,44,242100790
41,亀山市,関町小野,34.851486,136.405159,56,125,242100770
42,亀山市,関町金場,34.850248,136.357371,4,9,242100780
43,亀山市,関町久我,34.839671,136.372481,22,49,242100760
44,亀山市,関町沓掛,34.873224,136.357971,32,97,242100880
45,亀山市,関町木崎,34.850247,136.400076,0,0,242100690
46,亀山市,関町坂下,34.879085,136.335141,24,99,242100870
47,亀山市,関町白木一色,34.876217,136.395554,82,168,242100710
48,亀山市,関町新所,34.852731,136.379017,401,916,242100670
49,亀山市,関町中町,34.851601,136.393536,219,497,242100680
50,亀山市,関町萩原,34.837916,136.392989,35,79,242100740
51,亀山市,関町福徳,34.829169,136.375331,11,35,242100750
52,亀山市,関町富士ハイツ,34.859975,136.385944,151,370,242100900
53,亀山市,関町古厩,34.844069,136.403121,24,64,242100730
54,亀山市,関町鷲山,34.868263,136.388604,104,248,242100700
55,亀山市,太岡寺町,34.861506,136.413142,261,547,242100610
56,亀山市,高塚町,34.854022,136.464852,163,399,242100371
57,亀山市,田村町,34.879488,136.485758,601,1454,242100500
58,亀山市,田茂町,34.831319,136.454897,19,53,242100320
59,亀山市,長明寺町,34.879895,136.475964,150,364,242100510
60,亀山市,椿世町,34.867454,136.462846,163,393,242100240
61,亀山市,天神一丁目,34.846369,136.455245,49,109,24210030101
62,亀山市,天神二丁目,34.843276,136.455726,179,422,24210030102
63,亀山市,天神二丁目,34.843847,136.451382,0,0,24210030202
64,亀山市,天神三丁目,34.840037,136.453911,131,292,24210030103
65,亀山市,天神三丁目,34.836952,136.452097,6,17,24210030203
66,亀山市,天神四丁目,34.840273,136.451341,118,319,24210030104
67,亀山市,天神四丁目,34.839452,136.450128,1,4,24210030204
68,亀山市,中庄町,34.825571,136.470545,111,309,242100400
69,亀山市,中屋敷町,34.8579,136.454248,8,19,242100111
70,亀山市,西町,34.854117,136.449398,114,310,242100170
71,亀山市,西丸町,34.85581,136.449166,28,126,242100140
72,亀山市,能褒野町,34.893375,136.487025,1005,2377,242100540
73,亀山市,野村一丁目,34.860032,136.443018,308,680,24210021101
74,亀山市,野村二丁目,34.861349,136.437204,26,81,24210021102
75,亀山市,野村三丁目,34.856807,136.44013,269,629,24210021103
76,亀山市,野村四丁目,34.854216,136.439755,69,109,24210021104
77,亀山市,野村町,34.845807,136.431483,0,0,242100212
78,亀山市,羽若町,34.863703,136.448766,483,1407,242100260
79,亀山市,東台町,34.856526,136.458122,53,129,242100081
80,亀山市,東町一丁目,34.854279,136.455304,86,178,24210001101
81,亀山市,東町二丁目,34.853616,136.457871,16,30,24210001102
82,亀山市,東丸町,34.855547,136.452844,46,112,242100120
83,亀山市,東御幸町,34.850915,136.455555,264,581,242100190
84,亀山市,布気町,34.864298,136.425814,885,1744,242100600
85,亀山市,両尾町,34.903949,136.436929,283,751,242100560
86,亀山市,太森町,34.881935,136.464249,160,422,242100520
87,亀山市,辺法寺町,34.88972,136.451355,203,600,242100570
88,亀山市,本町一丁目,34.85175,136.46134,67,117,24210002101
89,亀山市,本町二丁目,34.854081,136.461195,119,291,24210002102
90,亀山市,本町三丁目,34.85542,136.460305,153,340,24210002103
91,亀山市,本町四丁目,34.856321,136.464766,148,342,24210002104
92,亀山市,本丸町,34.856469,136.451348,11,54,242100130
93,亀山市,みずきが丘,34.877657,136.468742,729,2564,242100650
94,亀山市,みずほ台,34.871116,136.477175,811,2188,242100480
95,亀山市,三寺町,34.821537,136.460027,99,284,242100390
96,亀山市,みどり町,34.870734,136.485725,921,2105,242100470
97,亀山市,南鹿島町,34.850335,136.467055,237,560,242100351
98,亀山市,南崎町,34.852892,136.449241,47,113,242100180
99,亀山市,南野町,34.85365,136.444364,498,774,242100231
100,亀山市,御幸町,34.851049,136.44629,75,170,242100200
101,亀山市,山下町,34.849139,136.423676,205,460,242100640
102,亀山市,和賀町,34.845812,136.441448,123,356,242100361
103,亀山市,若山町,34.858919,136.448014,42,115,242100160
104,亀山市,和田町,34.860038,136.483488,864,1989,242100440
